,Topics,Coherence
0,4,0.5478422554620108
1,5,0.5443628542639738
2,6,0.5793341035653171
3,7,0.526307963729825
4,8,0.5441263515752286
5,9,0.5271264512109725
6,10,0.5449129733573647
